id,recipient,jurisdiction,state,ein,type,amount,fips_code,fips
155,"NEWTON COUNTY BOARD OF
COMMISSIONERS - 1113 USHER ST.,
SUITE 204 - COVINGTON, GA 30014",Newton,GA,NA,COUNTY GOVERNMENT,156521,NA,13217 
156,"POLK COUNTY BOARD OF ELECTIONS &
REGISTRATION - 144 WEST AVE. -
CEDARTOWN, GA 30125",Polk,GA,NA,COUNTY GOVERNMENT,22788,NA,13233 
157,"RABUN COUNTY BOARD OF
COMMISSIONERS - 25 COURTHOUSE
SQUARE - CLAYTON, GA 30525",Rabun,GA,NA,COUNTY GOVERNMENT,8957,NA,13241 
158,"RANDOLPH COUNTY BOARD OF ELECTIONS
& REGISTRATION - P.O. BOX 532 -
CUTHBERT, GA 39840",Randolph,GA,NA,COUNTY GOVERNMENT,8145,NA,13243 
159,"RICHMOND COUNTY							
535 TELFAIR ST., SUITE 800							
AUGUSTA, GA 30901",Richmond,GA,NA,COUNTY GOVERNMENT,386279,NA,13245 
160,"AUGUSTA GEORGIA							
535 TELFAIR ST., SUITE 800							
AUGUSTA, GA 30901",Augusta,GA,NA,COUNTY GOVERNMENT,284650,NA,NA
161,"ROCKDALE COUNTY BOARD OF
COMMISSIONERS - 958 MILSTEAD AVE.
- CONYERS, GA 30012",Rockdale,GA,NA,COUNTY GOVERNMENT,315681,NA,13247 
162,"SPALDING COUNTY
P.O. BOX 1087
GRIFFIN, GA 30224",Spalding,GA,NA,COUNTY GOVERNMENT,96793,NA,13255 
163,"TERRELL COUNTY ELECTIONS AND
REGISTRATION DEPARTMENT - P.O. BOX
715 - DAWSON, GA 39842",Terrell,GA,NA,COUNTY GOVERNMENT,18611,NA,13273 
164,"TROUP COUNTY BOARD OF
COMMISSIONERS - 100 RIDLEY AVE. -
LAGRANGE, GA 30240",Troup,GA,NA,COUNTY GOVERNMENT,57483,NA,13285 
165,"TWIGGS COUNTY BOARD OF ELECTIONS
P.O BOX 130
JEFFERSONVILLE, GA 31044",Twiggs,GA,NA,COUNTY GOVERNMENT,7682,NA,13289 
166,"TWIGGS COUNTY COMMISSIONER OF
ROADS & REVENUE - P.O BOX 130 -
JEFFERSONVILLE, GA 31044",Twiggs,GA,NA,COUNTY GOVERNMENT,28519,NA,13289 
167,"ATHENS-CLARKE COUNTY BOARD OF
ELECTIONS & VOTER REGISTRATION -
375 SATULA AVE. - ATHENS, GA 30601",Clarke,GA,NA,COUNTY GOVERNMENT,115875,NA,13059 
168,"WARE COUNTY BOARD OF COMMISSIONERS							
305 OAK ST.							
WAYCROSS, GA 31501",Ware,GA,NA,COUNTY GOVERNMENT,58341,NA,13299 
169,"WILKINSON COUNTY DEPARTMENT OF							
ELECTIONS AND REGISTRATIONS - P.O.							
BOX 186 - IRWINTON, GA 31042",Wilkinson,GA,NA,COUNTY GOVERNMENT,25515,NA,13319 
170,"CITY AND COUNTY OF HONOLULU
530 S. KING ST., ROOM 100
HONOLULU, HI 96813",Honolulu,HI,NA,COUNTY GOVERNMENT,183335,NA,15003 
171,"COUNTY OF MAUI
200 S. HIGH ST., ROOM 708
WAILUKU, HI 96793",Maui,HI,NA,COUNTY GOVERNMENT,130456,NA,15009 
172,"COUNTY OF HAWAII
25 AUPUNI ST., SUITE 1402
HILO, HI 96720",Hawaii,HI,NA,COUNTY GOVERNMENT,177194,NA,15001 
173,"ADA COUNTY
200 W. FRONT ST.
BOISE, ID 83702",Ada,ID,NA,COUNTY GOVERNMENT,489963,NA,16001 
174,"BLACKFOOT
501 N. MAPLE, #205
BLACKFOOT, ID 83221",Blackfoot,ID,NA,COUNTY GOVERNMENT,23220,NA,NA
175,"BLAINE COUNTY ELECTIONS DEPARTMENT
206 S. 1ST AVE.
HAILEY, ID 83333",Blaine,ID,NA,COUNTY GOVERNMENT,11724,NA,16013 
176,"BONNEVILLE COUNTY
605 N CAPITAL AVE.
IDAHO, ID 83402",Bonneville,ID,NA,COUNTY GOVERNMENT,50288,NA,16019 
177,"GEM COUNTY CLERK							
415 E. MAIN ST., #202							
EMMETT, ID 83617",Gem,ID,NA,COUNTY GOVERNMENT,8754,NA,16045 
178,"REXBURG							
P.O. BOX 389							
REXBURG, ID 83440",Rexburg,ID,NA,COUNTY GOVERNMENT,25294,NA,NA
179,"MINIDOKA COUNTY
715 G ST.
RUPERT, ID 83350",Minidoka,ID,NA,COUNTY GOVERNMENT,11174,NA,16067 
180,"NEZ PERCE COUNTY AUDITOR
1230 MAIN ST.
LEWISTON, ID 83501",Nez Perce,ID,NA,COUNTY GOVERNMENT,21830,NA,16069 
181,"MURPHY COUNTY
P.O. BOX 128
MURPHY, ID 83650",Murphy,ID,NA,COUNTY GOVERNMENT,7786,NA,NA
182,"PAYETTE COUNTY
1130 3RD AVE. N.
PAYETTE, ID 83661",Payette,ID,NA,COUNTY GOVERNMENT,12632,NA,16075 
183,"TWIN FALLS COUNTY CLERK
630 ADDISON AVE. WEST
TWIN FALLS, ID 83303",Twin Falls,ID,NA,COUNTY GOVERNMENT,43832,NA,16083 
184,"WASHINGTON COUNTY CLERK
250 E. COURT ST.
WEISER, ID 83672",Washington,ID,NA,COUNTY GOVERNMENT,5792,NA,16087 
185,"ADAMS COUNTY CLERK
507 VERMONT
QUINCY, IL 62301",Adams,IL,NA,COUNTY GOVERNMENT,30837,NA,17001 
186,"BOONE COUNTY CLERK							
1212 LOGAN AVE., SUITE 103							
BELVIDERE, IL 61008",Boone,IL,NA,COUNTY GOVERNMENT,29040,NA,17007 
187,"CHAMPAIGN COUNTY CLERK							
1776 E. WASHINGTON ST.							
URBANA, IL 61802",Champaign,IL,NA,COUNTY GOVERNMENT,159600,NA,17019 
188,"CHICAGO BOARD OF ELECTION
COMMISSIONERS - 69 W. WASHINGTON
ST. - CHICAGO, IL 60602",Chicago,IL,NA,LOCAL GOVERNMENT,2269663,NA,NA
189,"COUNTY OF CHRISTIAN
101 S. MAIN ST., #8
TAYLORVILLE, IL 62568",Christian,IL,NA,COUNTY GOVERNMENT,13318,NA,17021 
190,"CLINTON COUNTY CLERK
850 FAIRFAX ST.
CARLYLE, IL 62231",Clinton,IL,NA,COUNTY GOVERNMENT,24768,NA,17027 
191,"COLES COUNTY CLERK
651 JACKSON AVE.
CHARLESTON, IL 61920",Coles,IL,NA,COUNTY GOVERNMENT,31879,NA,17029 
192,"CRAWFORD COUNTY CLERK
P.O. BOX 616
ROBINSON, IL 62454",Crawford,IL,NA,COUNTY GOVERNMENT,10819,NA,17033 
193,"DANVILLE ELECTION COMMISSION
201 N. VERMILION ST.
DANVILLE, IL 61832",Danville,IL,NA,COUNTY GOVERNMENT,28813,NA,NA
194,"DEWITT COUNTY CLERK
P.O. BOX 439
CLINTON, IL 61727",DeWitt,IL,NA,COUNTY GOVERNMENT,7581,NA,NA
195,"DOUGLAS COUNTY							
401 S. CENTER ST., P.O. BOX 467, R							
TUSCOLA, IL 61953",Douglas,IL,NA,COUNTY GOVERNMENT,8595,NA,17041 
196,"DUPAGE COUNTY CLERK-ELECTION							
DIVISION - 421 N. COUNTY FARM RD.							
- WHEATON, IL 60187",DuPage,IL,NA,COUNTY GOVERNMENT,513156,NA,NA
197,"EAST ST. LOUIS BOARD OF ELECTION
COMMISSIONERS - 301 RIVER PARK DR.
- EAST ST. LOUIS, IL 62201",East St. Louis,IL,NA,LOCAL GOVERNMENT,33740,NA,NA
198,"GALESBURG
55 W. TOMPKINS ST., P.O. BOX 1387
GALESBURG, IL 61402",Galesburg,IL,NA,COUNTY GOVERNMENT,23598,NA,NA
199,"GREENE COUNTY IL
315 6TH ST.
CARROLLTON, IL 62016",Greene,IL,NA,COUNTY GOVERNMENT,5235,NA,17061 
200,"GRUNDY COUNTY CLERK
111 E. WASHINGTON ST.
MORRIS, IL 60450",Grundy,IL,NA,COUNTY GOVERNMENT,22074,NA,17063 
201,"IROQUOIS COUNTY
1001 E. GRANT ST.
WATSEKA, IL 60970",Iroquois,IL,NA,COUNTY GOVERNMENT,13122,NA,17075 
202,"JACKSON COUNTY IL
1001 WALNUT ST.
MURPHYSBORO, IL 62966",Jackson,IL,NA,COUNTY GOVERNMENT,43814,NA,17077 
203,"JERSEY COUNTY CLERK
200 N. LAFAYETTE, SUITE 1
JERSEYVILLE, IL 62052",Jersey,IL,NA,COUNTY GOVERNMENT,6998,NA,17083 
204,"JO DAVIESS COUNTY							
330 N. BENCH ST.							
GALENA, IL 61036",Jo Daviess,IL,NA,COUNTY GOVERNMENT,8800,NA,17085 
205,"JOHNSON COUNTY CLERK							
P.O. BOX 987							
VIENNA, IL 62995",Johnson,IL,NA,COUNTY GOVERNMENT,7322,NA,17087 
206,"KANE COUNTY CLERK
719 S. BATAVIA AVE.
GENEVA, IL 60134",Kane,IL,NA,COUNTY GOVERNMENT,328655,NA,17089 
207,"KANKAKEE COUNTY CLERK
189 E. COURT ST.
KANKAKEE, IL 60901",Kankakee,IL,NA,COUNTY GOVERNMENT,65032,NA,17091 
208,"KENDALL COUNTY CLERK
111 W. FOX ST.
YORKVILLE, IL 60560",Kendall,IL,NA,COUNTY GOVERNMENT,56462,NA,17093 
209,"KNOX COUNTY CLERK - ELECTIONS
DIVISION - 200 S. CHERRY ST. -
GALESBURG, IL 61401",Knox,IL,NA,COUNTY GOVERNMENT,27486,NA,17095 
210,"LAKE COUNTY
18 N. COUNTY ST.
WAUKEGAN, IL 60085",Lake,IL,NA,COUNTY GOVERNMENT,415818,NA,17097 
211,"LIVINGSTON COUNTY CLERK
P.O. BOX 618
PONTIAC, IL 61764",Livingston,IL,NA,COUNTY GOVERNMENT,18000,NA,17105 
212,"LOGAN COUNTY
601 BROADWAY ST.
LINCOLN, IL 62656",Logan,IL,NA,COUNTY GOVERNMENT,14382,NA,17107 
213,"MACON COUNTY							
141 S. MAIN ST., ROOM 104							
DECATUR, IL 62523",Macon,IL,NA,COUNTY GOVERNMENT,66352,NA,17115 
214,"MACOUPIN COUNTY CLERK							
P.O. BOX 107, 201 E. MAIN ST.							
CARLINVILLE, IL 62626",Macoupin,IL,NA,COUNTY GOVERNMENT,18158,NA,17117 
215,"MARSHALL COUNTY CLERK & RECORDER
122 N. PRAIRIE ST., P.O. BOX 328
LACON, IL 61540",Marshall,IL,NA,COUNTY GOVERNMENT,5721,NA,17123 
216,"MASSAC COUNTY
P.O. BOX 429
METROPOLIS, IL 62960",Massac,IL,NA,COUNTY GOVERNMENT,8110,NA,17127 
217,"MCLEAN COUNTY CLERK
115 E. WASHINGTON ST., SUITE 102
BLOOMINGTON, IL 61701",McLean,IL,NA,COUNTY GOVERNMENT,102484,NA,17113 
218,"MERCER COUNTY CLERK
100 SE 3RD ST.
ALEDO, IL 61231",Mercer,IL,NA,COUNTY GOVERNMENT,6220,NA,17131 
219,"MONROE COUNTY CLERK
100 S. MAIN ST.
WATERLOO, IL 62298",Monroe,IL,NA,COUNTY GOVERNMENT,5152,NA,17133 
220,"MONTGOMERY COUNTY CLERK
#1 COURTHOUSE SQUARE
HILLSBORO, IL 62049",Montgomery,IL,NA,COUNTY GOVERNMENT,13983,NA,17135 
221,"OGLE COUNTY
105 S. 5TH ST., #104
OREGON, IL 61061",Ogle,IL,NA,COUNTY GOVERNMENT,23148,NA,17141 
222,"PEORIA COUNTY ELECTION COMMISSION							
4422 N. BRANDYWINE, SUITE 1							
PEORIA, IL 61614",Peoria,IL,NA,COUNTY GOVERNMENT,109544,NA,17143 
223,"PINCKNEYVILLE							
P.O. BOX 438							
PINCKNEYVILLE, IL 62274",Perry,IL,NA,COUNTY GOVERNMENT,12079,NA,17145 
224,"PIATT COUNTY CLERK
101 W. WASHINGTON ST.
MONTICELLO, IL 61856",Piatt,IL,NA,COUNTY GOVERNMENT,5058,NA,17147 
225,"PIKE COUNTY CLERK
121 E. WASHINGTON
PITTSFIELD, IL 62363",Pike,IL,NA,COUNTY GOVERNMENT,6223,NA,17149 
226,"RICHLAND COUNTY IL
103 W. MAIN ST.
OLNEY, IL 62450",Richland,IL,NA,COUNTY GOVERNMENT,6178,NA,17159 
227,"ROCKFORD BOARD OF ELECTIONS
301 S. 6TH. ST.
ROCKFORD, IL 61104",Rockford,IL,NA,LOCAL GOVERNMENT,117823,NA,NA
228,"SALINE COUNTY
10 E. POPLAR ST.
HARRISBURG, IL 62946",Saline,IL,NA,COUNTY GOVERNMENT,14359,NA,17165 
229,"SHELBY COUNTY
301 E. MAIN ST., P.O. BOX 230
SHELBYVILLE, IL 62565",Shelby,IL,NA,COUNTY GOVERNMENT,8590,NA,17173 
230,"TAZEWELL COUNTY CLERK
11 S. 4TH ST., SUITE 203
PEKIN, IL 61554",Tazewell,IL,NA,COUNTY GOVERNMENT,51605,NA,17179 
231,"VERMILION COUNTY CLERK							
201 N. VERMILION ST.							
DANVILLE, IL 61832",Vermilion,IL,NA,COUNTY GOVERNMENT,47636,NA,17183 
232,"WHITESIDE COUNTY CLERK							
200 E. KNOX ST.							
MORRISON, IL 61270",Whiteside,IL,NA,COUNTY GOVERNMENT,30457,NA,17195 
233,"WILL COUNTY CLERK
302 N. CHICAGO ST.
JOLIET, IL 60432",Will,IL,NA,COUNTY GOVERNMENT,374280,NA,17197 
234,"WILLIAMSON COUNTY
407 N.  MONROE ST., SUITE 119
MARION, IL 62959",Williamson,IL,NA,COUNTY GOVERNMENT,36390,NA,17199 
235,"WOODFORD COUNTY CLERK
115 N. MAIN ST.
EUREKA, IL 61530",Woodford,IL,NA,COUNTY GOVERNMENT,11704,NA,17203 
236,"DECATUR COUNTY TREASURER
150 COURTHOUSE SQUARE, SUITE 244
GREENSBURG, IN 47240",Decatur,IN,NA,COUNTY GOVERNMENT,11790,NA,18031 
237,"LAKE COUNTY TREASURER
2293 N. MAIN ST.
CROWN POINT, IN 46307",Lake,IN,NA,COUNTY GOVERNMENT,825036,NA,18089 
238,"LAPORTE COUNTY
705 LINCOLNWAY
LAPORTE, IN 46350",LaPorte,IN,NA,COUNTY GOVERNMENT,60041,NA,NA
239,"MARION COUNTY ELECTION BOARD
200 E. WASHINGTON ST., W-144
INDIANAPOLIS, IN 46204",Marion,IN,NA,COUNTY GOVERNMENT,1148455,NA,18097 
240,"POSEY COUNTY ELECTION BOARD							
300 MAIN ST., ROOM 115							
MT. VERNON, IN 47620",Posey,IN,NA,COUNTY GOVERNMENT,9833,NA,18129 
241,"WASHINGTON COUNTY IN							
101 E. ST. LOUIS ST.							
NASHVILLE, IL 62263",Washington,IN,NA,COUNTY GOVERNMENT,10580,NA,18175 
242,"BENTON COUNTY AUDITOR
111 E. 4TH ST.
VINTON, IA 52349",Benton,IA,NA,COUNTY GOVERNMENT,7728,NA,19011 
243,"BLACK HAWK COUNTY
316 E. 5TH ST.
WATERLOO, IA 50703",Black Hawk,IA,NA,COUNTY GOVERNMENT,150666,NA,19013 
244,"BOONE COUNTY AUDITOR
201 STATE ST.
BOONE, IA 50036",Boone,IA,NA,COUNTY GOVERNMENT,10183,NA,19015 
245,"BUCHANAN COUNTY AUDITOR
P.O. BOX 317
INDEPENDENCE, IA 50644",Buchanan,IA,NA,COUNTY GOVERNMENT,6132,NA,19019 
246,"BUENA VISTA COUNTY
601 LAKE AVE.
STORM LAKE, IA 50588",Buena Vista,IA,NA,COUNTY GOVERNMENT,13020,NA,19021 
247,"CEDAR COUNTY AUDITOR
400 CEDAR ST.
TIPTON, IA 52772",Cedar,IA,NA,COUNTY GOVERNMENT,5630,NA,19031 
248,"CERRO GORDO COUNTY AUDITOR
220 N. WASHINGTON AVE.
MASON CITY, IA 50401",Cerro Gordo,IA,NA,COUNTY GOVERNMENT,20325,NA,19033 
249,"CLAY COUNTY AUDITOR							
300 W. 4TH ST., SUITE 4							
SPENCER, IA 51301",Clay,IA,NA,COUNTY GOVERNMENT,7533,NA,19041 
250,"CLAYTON COUNTY AUDITOR							
111 HIGH ST. NE							
ELKADER, IA 52043",Clayton,IA,NA,COUNTY GOVERNMENT,5472,NA,19043 
251,"CLINTON COUNTY AUDITOR
1900 N. 3RD ST.
CLINTON, IA 52732",Clinton,IA,NA,COUNTY GOVERNMENT,21918,NA,19045 
252,"CRAWFORD COUNTY IA
1202 BROADWAY, SUITE 5
DENISON, IA 51442",Crawford,IA,NA,COUNTY GOVERNMENT,10058,NA,19047 
253,"DELAWARE COUNTY, IOWA
301 E. MAIN ST., ROOM 210
MANCHESTER, IA 52057",Delaware,IA,NA,COUNTY GOVERNMENT,5250,NA,19055 
254,"DES MOINES COUNTY AUDITOR
513 N. MAIN ST.
BURLINGTON, IA 52601",Des Moines,IA,NA,COUNTY GOVERNMENT,21420,NA,19057 
255,"DUBUQUE COUNTY ELECTIONS
720 CENTRAL AVE.
DUBUQUE, IA 52001",Dubuque,IA,NA,COUNTY GOVERNMENT,23328,NA,19061 
256,"EMMET COUNTY ELECTIONS DEPARTMENT
609 1ST AVE. NORTH, SUITE 6
ESTHERVILLE, IA 51334",Emmet,IA,NA,COUNTY GOVERNMENT,5247,NA,19063 
257,"FLOYD COUNTY
101 S. MAIN ST,, SUITE 302
CHARLES CITY, IA 50616",Floyd,IA,NA,COUNTY GOVERNMENT,7302,NA,19067 
258,"FRANKLIN COUNTY DEPARTMENT OF							
ELECTIONS - P.O. BOX 26 - HAMPTON,							
IA 50441",Franklin,IA,NA,COUNTY GOVERNMENT,5436,NA,19069 
259,"HAMILTON COUNTY AUDITOR							
2300 SUPERIOR ST., SUITE 2							
WEBSTER CITY, IA 50595",Hamilton,IA,NA,COUNTY GOVERNMENT,6831,NA,19079 
260,"COUNTY OF HARDIN
1215 EDGINGTON AVE.
ELDORA, IA 50627",Hardin,IA,NA,COUNTY GOVERNMENT,6615,NA,19083 
261,"HARRISON COUNTY AUDITOR
111 N. 2ND AVE.
LOGAN, IA 51546",Harrison,IA,NA,COUNTY GOVERNMENT,5513,NA,19085 
262,"JACKSON COUNTY AUDITOR
201 W. PLATT ST.
MAQUOKETA, IA 52060",Jackson,IA,NA,COUNTY GOVERNMENT,7565,NA,19097 
263,"COUNTY OF JOHNSON
913 S. DUBUQUE ST.
IOWA CITY, IA 52240",Johnson,IA,NA,COUNTY GOVERNMENT,336275,NA,19103 
264,"JONES COUNTY AUDITOR
P.O. BOX 109
ANAMOSA, IA 52205",Jones,IA,NA,COUNTY GOVERNMENT,9507,NA,19105 
265,"LEE COUNTY
933 AVENUE H
FORT MADISON, IA 52627",Lee,IA,NA,COUNTY GOVERNMENT,16416,NA,19111 
266,"LINN COUNTY AUDITOR
935 2ND ST. SW
CEDAR RAPIDS, IA 52404",Linn,IA,NA,COUNTY GOVERNMENT,708160,NA,19113 
267,"LOUISA COUNTY							
306 N. 2ND ST.							
WAPELLO, IA 52653",Louisa,IA,NA,COUNTY GOVERNMENT,6324,NA,19115 
268,"MILLS COUNTY AUDITOR							
418 SHARP ST., SUITE 3							
GLENWOOD, IA 51534",Mills,IA,NA,COUNTY GOVERNMENT,5635,NA,19129 
269,"PAGE COUNTY
112 E. MAIN ST.
CLARINDA, IA 51632",Page,IA,NA,COUNTY GOVERNMENT,7239,NA,19145 
270,"PLYMOUTH COUNTY
215 4TH AVE. SE
LE MARS, IA 51031",Plymouth,IA,NA,COUNTY GOVERNMENT,7850,NA,19149 
271,"POLK COUNTY
111 COURT AVE., ROOM 315
DES MOINES, IA 50309",Polk,IA,NA,COUNTY GOVERNMENT,1882433,NA,19153 
272,"POTTAWATTAMIE COUNTY AUDITOR
227 S. 6TH ST.
COUNCIL BLUFFS, IA 51501",Pottawattamie,IA,NA,COUNTY GOVERNMENT,86089,NA,19155 
273,"POWESHIEK COUNTY AUDITOR
P.O. BOX 57
MONTEZUMA, IA 50171",Poweshiek,IA,NA,COUNTY GOVERNMENT,7218,NA,19157 
274,"SCOTT COUNTY AUDITOR
600 W. FOURTH ST./AUDITOR'S
OFFICE/5TH FL. - DAVENPORT, IA
52801",Scott,IA,NA,COUNTY GOVERNMENT,645170,NA,19163 
275,"STORY COUNTY
900 6TH ST., SUITE 3
NEVADA, IA 50201",Story,IA,NA,COUNTY GOVERNMENT,14525,NA,19169 
276,"UNION COUNTY							
300 N. PINE ST.							
CRESTON, IA 50801",Union,IA,NA,COUNTY GOVERNMENT,5709,NA,19175 
277,"WAPELLO COUNTY AUDITOR							
101 W. 4TH ST.							
OTTUMWA, IA 52501",Wapello,IA,NA,COUNTY GOVERNMENT,17812,NA,19179 
278,"WARREN COUNTY
301 N. BUXTON ST.
INDIANOLA, IA 50125",Warren,IA,NA,COUNTY GOVERNMENT,17905,NA,19181 
279,"WEBSTER COUNTY
701 CENTRAL AVE.
FORT DODGE, IA 50501",Webster,IA,NA,COUNTY GOVERNMENT,19922,NA,19187 
280,"WOODBURY COUNTY ELECTIONS
822 DOUGLAS, SUITE 102
SIOUX CITY, IA 51101",Woodbury,IA,NA,COUNTY GOVERNMENT,156112,NA,19193 
281,"WRIGHT COUNTY
P.O. BOX 147
CLARION, IA 50525",Wright,IA,NA,COUNTY GOVERNMENT,6556,NA,19197 
282,"ALLEN COUNTY
1 N. WASHINGTON
IOLA, KS 66749",Allen,KS,NA,COUNTY GOVERNMENT,5967,NA,20001 
283,"ATCHISON COUNTY CLERK
423 N. 5TH ST.
ATCHISON, KS 66002",Atchison,KS,NA,COUNTY GOVERNMENT,8834,NA,20005 
284,"CHEROKEE COUNTY CLERK
P.O. BOX 147
COLUMBUS, KS 66725",Cherokee,KS,NA,COUNTY GOVERNMENT,10952,NA,20021 
285,"CRAWFORD COUNTY ELECTIONS OFFICE							
P.O. BOX 249							
GIRARD, KS 66743",Crawford,KS,NA,COUNTY GOVERNMENT,25232,NA,20037 
286,"DICKINSON COUNTY							
109 E. FIRST							
ABILENE, KS 67410",Dickinson,KS,NA,COUNTY GOVERNMENT,8739,NA,20041 
287,"DOUGLAS COUNTY, KS
1100 MASSACHUSETTS ST.
LAWRENCE, KS 66044",Douglas,KS,NA,COUNTY GOVERNMENT,321512,NA,20045 
288,"FORD COUNTY
P.O. BOX 1575
DODGE CITY, KS 67801",Ford,KS,NA,COUNTY GOVERNMENT,23374,NA,20057 
289,"FRANKLIN COUNTY CLERK'S OFFICE
315 S. MAIN, ROOM 106
OTTAWA, KS 66067",Franklin,KS,NA,COUNTY GOVERNMENT,11460,NA,20059 
290,"HARVEY COUNTY CLERK
800 N. MAIN ST.
NEWTON, KS 67114",Harvey,KS,NA,COUNTY GOVERNMENT,67630,NA,20079 
291,"JOHNSON COUNTY, KANSAS
2101 E. KANSAS CITY RD.
OLATHE, KS 66061",Johnson,KS,NA,COUNTY GOVERNMENT,856245,NA,20091 
292,"RENO COUNTY CLERK/ELECTIONS
125 W. 1ST AVE.
HUTCHINSON, KS 67501",Reno,KS,NA,COUNTY GOVERNMENT,33537,NA,20155 
293,"SALINE COUNTY ELECTION OFFICE
P.O. BOX 5040
SALINA, KS 67402",Saline,KS,NA,COUNTY GOVERNMENT,28424,NA,20169 
294,"SEDGWICK COUNTY							
525 N. MAIN, SUITE 823							
WICHITA, KS 67203",Sedgwick,KS,NA,COUNTY GOVERNMENT,816458,NA,20173 
295,"SUMNER COUNTY CLERK AND ELECTIONS							
OFFICE - 501 N. WASHINGTON -							
WELLINGTON, KS 67152",Sumner,KS,NA,COUNTY GOVERNMENT,12264,NA,20191 
296,"ANDERSON COUNTY CLERK
100 S. MAIN ST.
LAWRENCEBURG, KY 40342",Anderson,KY,NA,COUNTY GOVERNMENT,9828,NA,21005 
297,"BELL COUNTY CLERK
P.O. BOX 1575
PINEVILLE, KY 40977",Bell,KY,NA,COUNTY GOVERNMENT,18394,NA,21013 
298,"JUSTIN CRIGLER-BOONE COUNTY CLERK
2950 WASHINGTON SQUARE
HEBRON, KY 41048",Boone,KY,NA,COUNTY GOVERNMENT,553103,NA,21015 
299,"BOURBON COUNTY CLERK
301 MAIN ST.
PARIS, KY 40361",Bourbon,KY,NA,COUNTY GOVERNMENT,10283,NA,21017 
300,"CALLOWAY COUNTY FISCAL COURT
201 S. 4TH ST.
MURRAY, KY 42071",Calloway,KY,NA,COUNTY GOVERNMENT,25407,NA,21035 
301,"MURRAY COUNTY
101 S. 5TH ST.
MURRAY, KY 42071",Murray,KY,NA,COUNTY GOVERNMENT,295897,NA,NA
302,"CAMPBELL COUNTY CLERK
1098 MONMOUTH ST.
NEWPORT, KY 41071",Campbell,KY,NA,COUNTY GOVERNMENT,42257,NA,21037 
303,"CHRISTIAN COUNTY FISCAL COURT							
515 WEBER ST.							
HOPKINSVILLE, KY 42240",Christian,KY,NA,COUNTY GOVERNMENT,554952,NA,21047 
304,"CLARK COUNTY CLERK							
34 S. MAIN ST.							
WINCHESTER, KY 40392",Clark,KY,NA,COUNTY GOVERNMENT,16359,NA,21049 
305,"CLAY COUNTY FISCAL COURT
102 RICHMOND RD.
MANCHESTER, KY 40962",Clay,KY,NA,COUNTY GOVERNMENT,14042,NA,21051 
306,"CRITTENDEN COUNTY FISCAL COURT
107 S. MAIN ST.
MARION, KY 42064",Crittenden,KY,NA,COUNTY GOVERNMENT,10000,NA,21055 
307,"DAVIESS COUNTY CLERK'S OFFICE
P.O. BOX 609
OWENSBORO, KY 42302",Daviess,KY,NA,COUNTY GOVERNMENT,51188,NA,21059 
308,"FRANKLIN COUNTY FISCAL COURT
321 W. MAIN ST.
FRANKFORT, KY 40601",Franklin,KY,NA,COUNTY GOVERNMENT,526936,NA,21073 
309,"GRANT COUNTY FISCAL COURT
P.O. BOX 335
WILLIAMSTOWN, KY 41097",Grant,KY,NA,COUNTY GOVERNMENT,10587,NA,21081 
310,"GRAVES COUNTY FISCAL COURT
101 E. SOUTH ST.
MAYFIELD, KY 42066",Graves,KY,NA,COUNTY GOVERNMENT,19247,NA,21083 
311,"GREENUP COUNTY CLERKS OFFICE
P.O. BOX 686
GREENUP, KY 41144",Greenup,KY,NA,COUNTY GOVERNMENT,14105,NA,21089 
312,"HART COUNTY FISCAL COURT							
P.O. BOX 490							
MUNFORDVILLE, KY 42765",Hart,KY,NA,COUNTY GOVERNMENT,10418,NA,21099 
313,"HENDERSON COUNTY FISCAL COURT							
20 N. MAIN ST., SUITE 305							
HENDERSON, KY 42420",Henderson,KY,NA,COUNTY GOVERNMENT,24661,NA,21101 
314,"HENRY COUNTY CLERK, SHANDA E.
ARCHER - 27 S. PROPERTY RD. - NEW
CASTLE, KY 40050",Henry,KY,NA,COUNTY GOVERNMENT,7059,NA,21103 
315,"HOPKINS COUNTY CLERK'S OFFICE
24 UNION ST.
MADISONVILLE, KY 42431",Hopkins,KY,NA,COUNTY GOVERNMENT,24787,NA,21107 
316,"JACKSON COUNTY FISCAL COURT
P.O. BOX 175
MCKEE, KY 40447",Jackson,KY,NA,COUNTY GOVERNMENT,7740,NA,21109 
317,"LOUISVILLE JEFFERSON COUNTY METRO
GOVERNMENT - 611 W. JEFFERSON ST.
- LOUISVILLE, KY 40202",Jefferson,KY,NA,COUNTY GOVERNMENT,1896116,NA,21111 
318,"KENTON COUNTY
1840 SIMON KENTON WAY
COVINGTON, KY 41011",Kenton,KY,NA,COUNTY GOVERNMENT,128150,NA,21117 
319,"PENDLETON COUNTY
233 MAIN ST.
FALMOUTH, KY 41040",Pendleton,KY,NA,COUNTY GOVERNMENT,5608,NA,21191 
320,"MADISON COUNTY FISCAL COURT
P.O. BOX 1120
MOUNT STERLING, KY 40353",Madison,KY,NA,COUNTY GOVERNMENT,547443,NA,21151 
321,"MAGOFFIN COUNTY FISCAL COURT							
P.O. BOX 430							
SALYERSVILLE, KY 41465",Magoffin,KY,NA,COUNTY GOVERNMENT,6396,NA,21153 
322,"MARION COUNTY CLERK OFFICE							
223 N. SPALDING AVE., #102							
LEBANON, KY 40033",Marion,KY,NA,COUNTY GOVERNMENT,12376,NA,21155 
