"countyfips"	"sort"	"popch2023"	"pop_pctch2023"	"nat2023"	"int_mig2023"	"dom_mig2023"	"STNAME"	"CTYNAME"	"ESTIMATESBASE2020"	"POPESTIMATE2023"	"bach19"	"bach22"	"pop25_19"	"pop25_22"	"cont_code"	"party"	"pctwon"	"RUCC_2023"	"RUCC23_desc"
"40021"	2144	1105	"2"	-297	78	1301	"Oklahoma"	"Cherokee County"	47080	48185	NA	NA	NA	NA	"5"	"REPUBLICAN"	63.4	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"45071"	2354	1104	"3"	-512	254	1348	"South Carolina"	"Newberry County"	37721	38825	NA	NA	NA	NA	"5"	"REPUBLICAN"	61.4	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"40081"	2174	1102	"3"	-423	15	1507	"Oklahoma"	"Lincoln County"	33460	34562	NA	NA	NA	NA	"2"	"REPUBLICAN"	80.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"21215"	1103	1098	"6"	-5	23	1091	"Kentucky"	"Spencer County"	19433	20531	NA	NA	NA	NA	"2"	"REPUBLICAN"	76.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"51067"	2855	1082	"2"	-828	97	1829	"Virginia"	"Franklin County"	54467	55549	NA	NA	NA	NA	"3"	"REPUBLICAN"	70.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"13237"	506	1080	"5"	-434	22	1517	"Georgia"	"Putnam County"	22049	23129	NA	NA	NA	NA	"6"	"REPUBLICAN"	69.9	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"22121"	1176	1064	"4"	199	58	816	"Louisiana"	"West Baton Rouge Parish"	27202	28266	NA	NA	NA	NA	"3"	"REPUBLICAN"	54.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"22015"	1123	1063	"1"	842	695	-585	"Louisiana"	"Bossier Parish"	128732	129795	18881	24478	84723	86021	"3"	"REPUBLICAN"	69.7	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"37161"	1973	1061	"2"	-1412	51	2392	"North Carolina"	"Rutherford County"	64446	65507	NA	NA	NA	NA	"5"	"REPUBLICAN"	72.3	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"13213"	494	1059	"3"	-239	3	1254	"Georgia"	"Murray County"	39976	41035	NA	NA	NA	NA	"4"	"REPUBLICAN"	84.1	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"16039"	573	1059	"4"	676	303	67	"Idaho"	"Elmore County"	28665	29724	NA	NA	NA	NA	"5"	"REPUBLICAN"	71	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"08031"	262	1053	"0"	10542	4784	-13924	"Colorado"	"Denver County"	715524	716577	281723	299969	530543	525770	"1"	"DEMOCRATIC"	79.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"47143"	2502	1051	"3"	-537	15	1528	"Tennessee"	"Rhea County"	32873	33924	NA	NA	NA	NA	"5"	"REPUBLICAN"	81	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"48277"	2664	1046	"2"	-342	130	1258	"Texas"	"Lamar County"	50081	51127	NA	NA	NA	NA	"5"	"REPUBLICAN"	78.2	"5"	"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
"23009"	1184	1044	"2"	-1173	113	2135	"Maine"	"Hancock County"	55482	56526	NA	NA	NA	NA	"6"	"DEMOCRATIC"	54.3	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"50011"	2814	1043	"2"	167	44	819	"Vermont"	"Franklin County"	49951	50994	NA	NA	NA	NA	"4"	"DEMOCRATIC"	52.2	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"47167"	2514	1041	"2"	-287	15	1251	"Tennessee"	"Tipton County"	60974	62015	NA	NA	NA	NA	"2"	"REPUBLICAN"	73.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48149"	2600	1041	"4"	-426	60	1416	"Texas"	"Fayette County"	24433	25474	NA	NA	NA	NA	"6"	"REPUBLICAN"	78.6	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"17063"	629	1039	"2"	105	76	864	"Illinois"	"Grundy County"	52539	53578	NA	NA	NA	NA	"2"	"REPUBLICAN"	61.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"20149"	965	1039	"4"	495	30	510	"Kansas"	"Pottawatomie County"	25343	26382	NA	NA	NA	NA	"4"	"REPUBLICAN"	72.2	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"51171"	2904	1038	"2"	-452	224	1293	"Virginia"	"Shenandoah County"	44190	45228	NA	NA	NA	NA	"6"	"REPUBLICAN"	69.5	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"13047"	412	1036	"2"	-692	-39	1731	"Georgia"	"Catoosa County"	67874	68910	10915	12061	46682	48886	"3"	"REPUBLICAN"	77.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"47155"	2508	1034	"1"	-1021	599	1513	"Tennessee"	"Sevier County"	98381	99415	13379	16629	70573	71433	"5"	"REPUBLICAN"	77.6	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"13311"	543	1029	"4"	-506	27	1504	"Georgia"	"White County"	27997	29026	NA	NA	NA	NA	"6"	"REPUBLICAN"	82.5	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"06017"	196	1026	"1"	-814	475	1442	"California"	"El Dorado County"	191189	192215	50191	55466	142068	144290	"2"	"REPUBLICAN"	53.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"23027"	1193	1024	"3"	-521	17	1513	"Maine"	"Waldo County"	39596	40620	NA	NA	NA	NA	"6"	"DEMOCRATIC"	50.3	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"08045"	269	1021	"2"	978	353	-340	"Colorado"	"Garfield County"	61686	62707	NA	NA	NA	NA	"5"	"DEMOCRATIC"	49.9	"5"	"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
"37169"	1977	1008	"2"	-908	-2	1894	"North Carolina"	"Stokes County"	44524	45532	NA	NA	NA	NA	"3"	"REPUBLICAN"	78.4	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48171"	2611	1007	"4"	-510	261	1292	"Texas"	"Gillespie County"	26726	27733	NA	NA	NA	NA	"5"	"REPUBLICAN"	79	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"05055"	140	1005	"2"	-185	7	1187	"Arkansas"	"Greene County"	45738	46743	NA	NA	NA	NA	"5"	"REPUBLICAN"	78.7	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"16031"	569	1004	"4"	454	220	330	"Idaho"	"Cassia County"	24692	25696	NA	NA	NA	NA	"5"	"REPUBLICAN"	82.1	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"21179"	1085	1003	"2"	-100	65	1013	"Kentucky"	"Nelson County"	46727	47730	NA	NA	NA	NA	"5"	"REPUBLICAN"	67.6	"1"	"Metro - Counties in metro areas of 1 million population or more"
"40135"	2201	1002	"3"	-382	5	1364	"Oklahoma"	"Sequoyah County"	39289	40291	NA	NA	NA	NA	"3"	"REPUBLICAN"	78.7	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"48161"	2606	1002	"5"	-152	35	1134	"Texas"	"Freestone County"	19439	20441	NA	NA	NA	NA	"6"	"REPUBLICAN"	80.3	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"35035"	1817	1000	"1"	-213	690	510	"New Mexico"	"Otero County"	67835	68835	6470	10159	45409	46300	"5"	"REPUBLICAN"	61.6	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"42075"	2284	999	"1"	-857	576	1251	"Pennsylvania"	"Lebanon County"	143253	144252	20565	25645	98178	99863	"4"	"REPUBLICAN"	65.2	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"09160"	315	998	"1"	-1098	508	1635	"Connecticut"	"Northwest Hills Planning Region"	112465	113463	NA	NA	NA	NA	NA	NA	NA	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"51600"	2927	997	"4"	992	813	-823	"Virginia"	"Fairfax city"	24147	25144	NA	NA	NA	NA	"2"	"DEMOCRATIC"	68	"1"	"Metro - Counties in metro areas of 1 million population or more"
"08005"	248	986	"0"	8838	6769	-15039	"Colorado"	"Arapahoe County"	655075	656061	197697	211627	451535	455475	"2"	"DEMOCRATIC"	61	"1"	"Metro - Counties in metro areas of 1 million population or more"
"26103"	1285	986	"1"	-633	78	1427	"Michigan"	"Marquette County"	66013	66999	15674	16378	44541	44551	"5"	"DEMOCRATIC"	54.6	"5"	"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
"29091"	1531	986	"2"	-589	-14	1551	"Missouri"	"Howell County"	39749	40735	NA	NA	NA	NA	"5"	"REPUBLICAN"	81.4	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"51820"	2953	986	"4"	159	39	796	"Virginia"	"Waynesboro city"	22196	23182	NA	NA	NA	NA	"4"	"REPUBLICAN"	51.4	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"04009"	102	984	"3"	232	-5	706	"Arizona"	"Graham County"	38541	39525	NA	NA	NA	NA	"5"	"REPUBLICAN"	71.7	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"26009"	1238	983	"4"	-444	36	1398	"Michigan"	"Antrim County"	23426	24409	NA	NA	NA	NA	"6"	"REPUBLICAN"	61.1	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"29141"	1556	968	"5"	-238	-6	1216	"Missouri"	"Morgan County"	21002	21970	NA	NA	NA	NA	"6"	"REPUBLICAN"	78.4	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"30043"	1622	966	"8"	-182	30	1128	"Montana"	"Jefferson County"	12082	13048	NA	NA	NA	NA	"5"	"REPUBLICAN"	65.6	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"53051"	2981	961	"7"	-349	2	1333	"Washington"	"Pend Oreille County"	13400	14361	NA	NA	NA	NA	"3"	"REPUBLICAN"	67	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"27041"	1337	957	"2"	-203	74	1086	"Minnesota"	"Douglas County"	38996	39953	NA	NA	NA	NA	"5"	"REPUBLICAN"	65.4	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"51630"	2930	955	"3"	204	606	153	"Virginia"	"Fredericksburg city"	27973	28928	NA	NA	NA	NA	"2"	"DEMOCRATIC"	66.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"27095"	1364	954	"4"	-274	2	1220	"Minnesota"	"Mille Lacs County"	26473	27427	NA	NA	NA	NA	"2"	"REPUBLICAN"	67.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"01049"	25	952	"1"	-616	210	1328	"Alabama"	"DeKalb County"	71617	72569	5999	6597	47007	48375	"6"	"REPUBLICAN"	84.4	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"29101"	1536	952	"2"	615	254	53	"Missouri"	"Johnson County"	54010	54962	NA	NA	NA	NA	"5"	"REPUBLICAN"	67	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"30009"	1605	948	"9"	-114	57	1018	"Montana"	"Carbon County"	10471	11419	NA	NA	NA	NA	"4"	"REPUBLICAN"	63.4	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"47013"	2437	948	"2"	-955	19	1854	"Tennessee"	"Campbell County"	39275	40223	NA	NA	NA	NA	"3"	"REPUBLICAN"	82.6	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"41031"	2226	946	"4"	-98	-3	1055	"Oregon"	"Jefferson County"	24508	25454	NA	NA	NA	NA	"6"	"REPUBLICAN"	60.3	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"27027"	1330	942	"1"	510	344	68	"Minnesota"	"Clay County"	65316	66258	NA	NA	NA	NA	"4"	"DEMOCRATIC"	50.7	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"18033"	716	938	"2"	174	24	708	"Indiana"	"DeKalb County"	43260	44198	NA	NA	NA	NA	"5"	"REPUBLICAN"	72.5	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"12065"	354	937	"6"	-271	60	1129	"Florida"	"Jefferson County"	14513	15450	NA	NA	NA	NA	"3"	"REPUBLICAN"	53	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"47173"	2517	937	"5"	-386	-4	1309	"Tennessee"	"Union County"	19804	20741	NA	NA	NA	NA	"3"	"REPUBLICAN"	83.7	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"47121"	2491	936	"7"	-294	0	1227	"Tennessee"	"Meigs County"	12755	13691	NA	NA	NA	NA	"6"	"REPUBLICAN"	80.7	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"13221"	498	928	"6"	-91	14	1012	"Georgia"	"Oglethorpe County"	14826	15754	NA	NA	NA	NA	"4"	"REPUBLICAN"	68.8	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"16087"	597	927	"9"	-172	70	1042	"Idaho"	"Washington County"	10498	11425	NA	NA	NA	NA	"6"	"REPUBLICAN"	77.7	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"48165"	2608	926	"4"	951	148	-188	"Texas"	"Gaines County"	21597	22523	NA	NA	NA	NA	"6"	"REPUBLICAN"	89.3	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"48005"	2528	919	"1"	-100	25	943	"Texas"	"Angelina County"	86400	87319	10609	11606	57118	58625	"5"	"REPUBLICAN"	72.5	"5"	"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
"16081"	594	918	"8"	211	27	700	"Idaho"	"Teton County"	11631	12549	NA	NA	NA	NA	"5"	"DEMOCRATIC"	52.3	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"41071"	2246	918	"1"	-372	351	936	"Oregon"	"Yamhill County"	107726	108644	18312	24184	73372	75347	"2"	"REPUBLICAN"	50.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"44003"	2315	918	"1"	-1909	571	2216	"Rhode Island"	"Kent County"	170360	171278	39762	44779	122379	128399	"2"	"DEMOCRATIC"	52.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"53007"	2959	916	"1"	-107	338	693	"Washington"	"Chelan County"	79081	79997	13407	19840	52950	56004	"4"	"REPUBLICAN"	52.5	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"47081"	2471	915	"4"	-340	26	1207	"Tennessee"	"Hickman County"	24911	25826	NA	NA	NA	NA	"2"	"REPUBLICAN"	77.1	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48361"	2706	912	"1"	-261	121	1038	"Texas"	"Orange County"	84810	85722	10667	10618	56626	56727	"3"	"REPUBLICAN"	81.1	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"33019"	1776	911	"2"	-552	99	1364	"New Hampshire"	"Sullivan County"	43058	43969	NA	NA	NA	NA	"5"	"DEMOCRATIC"	50.8	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"16015"	561	903	"12"	-65	104	882	"Idaho"	"Boise County"	7614	8517	NA	NA	NA	NA	"3"	"REPUBLICAN"	72.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"51750"	2946	902	"6"	26	44	832	"Virginia"	"Radford city"	16069	16971	NA	NA	NA	NA	"4"	"DEMOCRATIC"	53.1	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"16085"	596	900	"8"	-39	-4	973	"Idaho"	"Valley County"	11744	12644	NA	NA	NA	NA	"6"	"REPUBLICAN"	55.9	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"51199"	2917	900	"1"	0	240	639	"Virginia"	"York County"	70052	70952	23776	24104	46576	48208	"2"	"REPUBLICAN"	52.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"16067"	587	898	"4"	239	73	586	"Idaho"	"Minidoka County"	21582	22480	NA	NA	NA	NA	"5"	"REPUBLICAN"	78.4	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"16069"	588	896	"2"	-588	83	1395	"Idaho"	"Nez Perce County"	42091	42987	NA	NA	NA	NA	"4"	"REPUBLICAN"	65.5	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"30057"	1629	894	"10"	-146	82	963	"Montana"	"Madison County"	8627	9521	NA	NA	NA	NA	"6"	"REPUBLICAN"	68.9	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"27013"	1323	892	"1"	411	597	-145	"Minnesota"	"Blue Earth County"	69114	70006	14313	14558	39211	40913	"4"	"DEMOCRATIC"	50.8	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"01071"	36	888	"2"	-1201	68	1994	"Alabama"	"Jackson County"	52579	53467	NA	NA	NA	NA	"5"	"REPUBLICAN"	83.2	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"05119"	172	884	"0"	1495	1051	-1874	"Arkansas"	"Pulaski County"	399125	400009	93775	102310	268684	271548	"3"	"DEMOCRATIC"	60	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"21079"	1035	883	"5"	-228	51	1076	"Kentucky"	"Garrard County"	16946	17829	NA	NA	NA	NA	"6"	"REPUBLICAN"	77.6	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"37087"	1936	881	"1"	-1507	48	2349	"North Carolina"	"Haywood County"	62088	62969	NA	NA	NA	NA	"3"	"REPUBLICAN"	62.5	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"37115"	1950	879	"4"	-343	42	1204	"North Carolina"	"Madison County"	21192	22071	NA	NA	NA	NA	"3"	"REPUBLICAN"	61	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"37139"	1962	877	"2"	-169	75	941	"North Carolina"	"Pasquotank County"	40567	41444	NA	NA	NA	NA	"5"	"DEMOCRATIC"	49.4	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"49013"	2786	873	"4"	336	1	520	"Utah"	"Duchesne County"	19604	20477	NA	NA	NA	NA	"6"	"REPUBLICAN"	87.7	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"39133"	2112	869	"1"	-1512	683	1616	"Ohio"	"Portage County"	161796	162665	30535	39354	106424	108007	"3"	"REPUBLICAN"	55.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48401"	2726	864	"2"	-619	111	1375	"Texas"	"Rusk County"	52215	53079	NA	NA	NA	NA	"4"	"REPUBLICAN"	77.3	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"29131"	1551	863	"3"	-124	-5	966	"Missouri"	"Miller County"	24727	25590	NA	NA	NA	NA	"6"	"REPUBLICAN"	82.2	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"42125"	2309	863	"0"	-3045	241	3668	"Pennsylvania"	"Washington County"	209369	210232	46062	51091	148862	152457	"2"	"REPUBLICAN"	60.8	"1"	"Metro - Counties in metro areas of 1 million population or more"
"29109"	1540	861	"2"	-206	18	1045	"Missouri"	"Lawrence County"	38011	38872	NA	NA	NA	NA	"6"	"REPUBLICAN"	80.6	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"53043"	2977	860	"8"	-113	5	974	"Washington"	"Lincoln County"	10878	11738	NA	NA	NA	NA	"6"	"REPUBLICAN"	73.2	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"53039"	2975	859	"4"	-216	196	892	"Washington"	"Klickitat County"	22730	23589	NA	NA	NA	NA	"6"	"REPUBLICAN"	53.4	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"16079"	593	858	"7"	-256	-1	1118	"Idaho"	"Shoshone County"	13168	14026	NA	NA	NA	NA	"6"	"REPUBLICAN"	69.7	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"21141"	1066	854	"3"	-26	20	864	"Kentucky"	"Logan County"	27429	28283	NA	NA	NA	NA	"6"	"REPUBLICAN"	73.4	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"37155"	1970	851	"1"	57	341	449	"North Carolina"	"Robeson County"	116514	117365	12639	12210	85215	74653	"5"	"REPUBLICAN"	58.9	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"47103"	2482	849	"2"	-491	34	1280	"Tennessee"	"Lincoln County"	35320	36169	NA	NA	NA	NA	"6"	"REPUBLICAN"	78.7	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"27131"	1382	847	"1"	133	641	49	"Minnesota"	"Rice County"	67101	67948	13338	13975	42197	44018	"5"	"REPUBLICAN"	48.9	"4"	"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
"31025"	1669	842	"3"	-54	36	879	"Nebraska"	"Cass County"	26604	27446	NA	NA	NA	NA	"3"	"REPUBLICAN"	66.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"40097"	2182	839	"2"	-497	5	1306	"Oklahoma"	"Mayes County"	39050	39889	NA	NA	NA	NA	"6"	"REPUBLICAN"	76.7	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"55125"	3113	839	"4"	-645	-4	1508	"Wisconsin"	"Vilas County"	23046	23885	NA	NA	NA	NA	"6"	"REPUBLICAN"	60.3	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"16009"	558	838	"9"	-173	1	1013	"Idaho"	"Benewah County"	9531	10369	NA	NA	NA	NA	"6"	"REPUBLICAN"	78	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"49041"	2800	836	"4"	173	-7	677	"Utah"	"Sevier County"	21508	22344	NA	NA	NA	NA	"6"	"REPUBLICAN"	87.4	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"48379"	2715	835	"7"	-279	14	1098	"Texas"	"Rains County"	12151	12986	NA	NA	NA	NA	"6"	"REPUBLICAN"	85.2	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"08007"	249	834	"6"	-85	17	917	"Colorado"	"Archuleta County"	13355	14189	NA	NA	NA	NA	"6"	"REPUBLICAN"	56.7	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"18133"	766	833	"2"	-269	112	987	"Indiana"	"Putnam County"	36734	37567	NA	NA	NA	NA	"2"	"REPUBLICAN"	74	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"53049"	2980	832	"4"	-749	115	1506	"Washington"	"Pacific County"	23368	24200	NA	NA	NA	NA	"6"	"REPUBLICAN"	49.4	"7"	"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
"41047"	2234	831	"0"	1499	880	-1740	"Oregon"	"Marion County"	345910	346741	58330	60563	230945	233879	"3"	"DEMOCRATIC"	48.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"08027"	260	828	"18"	-64	3	901	"Colorado"	"Custer County"	4706	5534	NA	NA	NA	NA	"6"	"REPUBLICAN"	68.1	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"01111"	56	825	"4"	-333	13	1154	"Alabama"	"Randolph County"	21961	22786	NA	NA	NA	NA	"6"	"REPUBLICAN"	79	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"23025"	1192	821	"2"	-836	35	1591	"Maine"	"Somerset County"	50481	51302	NA	NA	NA	NA	"6"	"REPUBLICAN"	59.7	"6"	"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
"48289"	2670	821	"5"	-238	19	1043	"Texas"	"Leon County"	15717	16538	NA	NA	NA	NA	"6"	"REPUBLICAN"	86.7	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"13313"	544	820	"1"	474	335	-7	"Georgia"	"Whitfield County"	102867	103687	11176	13717	67441	66351	"4"	"REPUBLICAN"	69.8	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"55093"	3097	820	"2"	63	61	675	"Wisconsin"	"Pierce County"	42206	43026	NA	NA	NA	NA	"2"	"REPUBLICAN"	55	"1"	"Metro - Counties in metro areas of 1 million population or more"
"13225"	500	819	"3"	-236	-1	1036	"Georgia"	"Peach County"	27986	28805	NA	NA	NA	NA	"4"	"REPUBLICAN"	51.8	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"48485"	2768	819	"1"	-47	509	328	"Texas"	"Wichita County"	129361	130180	18975	19977	85011	84089	"4"	"REPUBLICAN"	69.7	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"47133"	2497	818	"4"	-514	1	1332	"Tennessee"	"Overton County"	22509	23327	NA	NA	NA	NA	"5"	"REPUBLICAN"	78.9	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"37061"	1923	817	"2"	7	522	264	"North Carolina"	"Duplin County"	48703	49520	NA	NA	NA	NA	"6"	"REPUBLICAN"	60.7	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"23023"	1191	810	"2"	-420	60	1186	"Maine"	"Sagadahoc County"	36703	37513	NA	NA	NA	NA	"3"	"DEMOCRATIC"	55.7	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"55083"	3092	810	"2"	-266	5	1078	"Wisconsin"	"Oconto County"	38965	39775	NA	NA	NA	NA	"3"	"REPUBLICAN"	69.9	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"16043"	575	809	"6"	90	40	663	"Idaho"	"Fremont County"	13387	14196	NA	NA	NA	NA	"5"	"REPUBLICAN"	82.6	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"16073"	590	807	"7"	30	16	776	"Idaho"	"Owyhee County"	11915	12722	NA	NA	NA	NA	"3"	"REPUBLICAN"	80.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"55001"	3050	802	"4"	-601	13	1377	"Wisconsin"	"Adams County"	20647	21449	NA	NA	NA	NA	"6"	"REPUBLICAN"	62.3	"8"	"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
"46033"	2380	797	"10"	-79	17	857	"South Dakota"	"Custer County"	8320	9117	NA	NA	NA	NA	"4"	"REPUBLICAN"	70.1	"3"	"Metro - Counties in metro areas of fewer than 250,000 population"
"37023"	1904	787	"1"	-1415	86	2067	"North Carolina"	"Burke County"	87551	88338	12480	14313	67177	65981	"3"	"REPUBLICAN"	69.5	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"27057"	1345	782	"4"	-88	29	850	"Minnesota"	"Hubbard County"	21350	22132	NA	NA	NA	NA	"6"	"REPUBLICAN"	63.3	"9"	"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
"37029"	1907	780	"8"	-87	18	865	"North Carolina"	"Camden County"	10357	11137	NA	NA	NA	NA	"5"	"REPUBLICAN"	72.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
